,Price (in rupees),Carpet Area
0,6000.0,500.0
1,13799.0,473.0
2,17500.0,779.0
3,0.0,530.0
4,18824.0,635.0
5,6618.0,680.0
6,2538.0,550.0
7,10435.0,575.0
8,10000.0,600.0
9,11150.0,900.0
10,12174.0,950.0
11,11674.0,1165.0
12,15995.0,844.0
13,17526.0,1820.0
14,11538.0,650.0
15,10000.0,675.0
16,5736.0,647.0
17,6481.0,540.0
18,11250.0,600.0
19,6731.0,520.0
20,8571.0,430.0
21,15000.0,665.0
22,12213.0,557.0
23,10940.0,870.0
24,0.0,525.0
25,7241.0,580.0
26,6648.0,288.0
27,9683.0,630.0
28,14344.0,925.0
29,7287.0,434.0
30,17827.0,1350.0
31,15196.0,850.0
32,11608.0,467.0
33,11008.0,849.0
34,9643.0,440.0
35,3768.0,690.0
36,9333.0,750.0
37,0.0,550.0
38,12369.0,639.0
39,4070.0,600.0
40,4149.0,482.0
41,6364.0,1100.0
42,4805.0,770.0
43,11321.0,530.0
44,0.0,923.0
45,13750.0,620.0
46,11667.0,550.0
47,4571.0,367.0
48,9750.0,600.0
49,12821.0,880.0
50,8246.0,380.0
51,2495.0,481.0
52,8399.0,381.0
53,5974.0,375.0
54,11905.0,636.0
55,8475.0,590.0
56,3488.0,860.0
57,8750.0,600.0
58,11765.0,661.0
59,5611.0,686.0
60,11481.0,950.0
61,3876.0,504.0
62,15385.0,799.0
63,8000.0,500.0
64,18750.0,320.0
65,10000.0,650.0
66,7338.0,586.0
67,8500.0,1000.0
68,17333.0,1200.0
69,0.0,741.0
70,0.0,1200.0
71,0.0,0.0
72,7059.0,590.0
73,11458.0,960.0
74,4459.0,785.0
75,6709.0,477.0
76,13699.0,1168.0
77,15122.0,2050.0
78,9750.0,800.0
79,7438.0,500.0
80,11765.0,1200.0
81,7812.0,640.0
82,12618.0,920.0
83,0.0,550.0
84,0.0,400.0
85,13167.0,460.0
86,3226.0,930.0
87,8000.0,404.0
88,8173.0,624.0
89,9231.0,1430.0
90,5091.0,510.0
91,11159.0,450.0
92,19608.0,510.0
93,7143.0,700.0
94,0.0,550.0
95,8413.0,420.0
96,13866.0,744.0
97,8889.0,675.0
98,12526.0,740.0
99,7986.0,1127.0
100,10709.0,479.0
101,7692.0,445.0
102,8571.0,686.0
103,0.0,1600.0
104,0.0,625.0
105,5747.0,1305.0
106,9444.0,540.0
107,0.0,739.0
108,17806.0,556.0
109,7763.0,410.0
110,5500.0,775.0
111,5893.0,400.0
112,13591.0,759.0
113,12179.0,530.0
114,12605.0,1041.0
115,3750.0,400.0
116,8248.0,735.0
117,6429.0,370.0
118,8197.0,610.0
119,4425.0,1130.0
120,4403.0,770.0
121,12329.0,430.0
122,8333.0,410.0
123,5151.0,796.0
124,4583.0,688.0
125,9554.0,640.0
126,14706.0,680.0
127,21994.0,1073.0
128,3893.0,745.0
129,3698.0,676.0
130,4142.0,664.0
131,0.0,850.0
132,12605.0,595.0
133,18044.0,1356.0
134,8571.0,400.0
135,11594.0,483.0
136,6691.0,453.0
137,7143.0,750.0
138,16162.0,800.0
139,17017.0,760.0
140,10256.0,500.0
141,17949.0,1704.0
142,9913.0,587.0
143,3709.0,701.0
144,10010.0,699.0
145,3371.0,623.0
146,16176.0,1350.0
147,22418.0,763.0
148,16667.0,1140.0
149,24444.0,225.0
150,4688.0,320.0
151,4643.0,560.0
152,7647.0,850.0
153,12963.0,889.0
154,7143.0,840.0
155,4677.0,490.0
156,8983.0,415.0
157,20690.0,1140.0
158,17368.0,735.0
159,15217.0,490.0
160,13982.0,452.0
161,13333.0,450.0
162,4500.0,400.0
163,10400.0,894.0
164,11134.0,640.0
165,11416.0,876.0
166,11239.0,640.0
167,13680.0,758.0
168,0.0,894.0
169,3333.0,570.0
170,13078.0,1153.0
171,5600.0,1000.0
172,8917.0,785.0
173,4611.0,671.0
174,7485.0,1170.0
175,11017.0,590.0
176,8300.0,600.0
177,0.0,758.0
178,6557.0,1098.0
179,13364.0,848.0
180,6838.0,585.0
181,11734.0,650.0
182,15812.0,913.0
183,16579.0,366.0
184,14515.0,750.0
185,18703.0,706.0
186,7054.0,612.0
187,10690.0,730.0
188,4664.0,510.0
189,5443.0,961.0
190,19003.0,1228.0
191,5882.0,480.0
192,7505.0,533.0
193,6410.0,546.0
194,14576.0,551.0
195,10563.0,435.0
196,12557.0,430.0
197,15508.0,1359.0
198,14444.0,640.0
199,4000.0,1100.0
200,11717.0,495.0
201,0.0,510.0
202,13111.0,1650.0
203,6787.0,442.0
204,8058.0,540.0
205,11942.0,650.0
206,0.0,1300.0
207,10400.0,870.0
208,14615.0,830.0
209,5254.0,763.0
210,6988.0,480.0
211,12973.0,370.0
212,6408.0,454.0
213,16517.0,750.0
214,22053.0,721.0
215,7545.0,575.0
216,14846.0,790.0
217,19933.0,1100.0
218,11364.0,2200.0
219,6816.0,700.0
220,4250.0,400.0
221,15308.0,790.0
222,9231.0,390.0
223,14519.0,500.0
224,0.0,850.0
225,19075.0,1203.0
226,5000.0,438.0
227,7129.0,510.0
228,17827.0,1350.0
229,7326.0,546.0
230,14118.0,379.0
231,8182.0,500.0
232,11111.0,495.0
233,17981.0,1012.0
234,6049.0,526.0
235,0.0,715.0
236,3584.0,692.0
237,11818.0,879.0
238,7886.0,410.0
239,7833.0,400.0
240,9444.0,640.0
241,17968.0,2024.0
242,21028.0,630.0
243,16667.0,750.0
244,2930.0,1024.0
245,5094.0,375.0
246,9692.0,435.0
247,9333.0,650.0
248,14286.0,450.0
249,5455.0,511.0
250,0.0,585.0
251,4393.0,387.0
252,6821.0,585.0
253,21937.0,702.0
254,6923.0,440.0
255,9500.0,663.0
256,0.0,453.0
257,3614.0,415.0
258,4478.0,475.0
259,5000.0,500.0
260,8545.0,330.0
261,8947.0,650.0
262,7883.0,1332.0
263,16889.0,1011.0
264,5625.0,800.0
265,0.0,700.0
266,10769.0,650.0
267,4545.0,500.0
268,11423.0,650.0
269,9032.0,465.0
270,10000.0,700.0
271,18868.0,1190.0
272,3954.0,420.0
273,16231.0,790.0
274,3252.0,615.0
275,5496.0,450.0
276,12452.0,1090.0
277,10638.0,400.0
278,3377.0,385.0
279,6750.0,400.0
280,9692.0,438.0
281,14091.0,833.0
282,7326.0,900.0
283,11429.0,1050.0
284,10573.0,1135.0
285,10909.0,1100.0
286,11159.0,1165.0
287,15658.0,1300.0
288,0.0,518.0
289,3810.0,735.0
290,16111.0,720.0
291,7519.0,665.0
292,11450.0,640.0
293,4667.0,345.0
294,8491.0,1060.0
295,11667.0,600.0
296,5736.0,385.0
297,0.0,725.0
298,6249.0,384.0
299,8759.0,548.0
300,11259.0,450.0
301,11526.0,650.0
302,6744.0,510.0
303,16296.0,810.0
304,22000.0,800.0
305,11486.0,670.0
306,7071.0,500.0
307,22015.0,804.0
308,3846.0,390.0
309,9600.0,625.0
310,13636.0,770.0
311,14123.0,1040.0
312,10187.0,672.0
